,Date,Symbol,_id,close,exchange,frequency,high,industry,logo_url,low,open,processing_time,sector,sentiment_change,st_id,title,trending,trending_score,utcDate,volume,volume_change,vwap,watchlist_count,watchlist_member,watchlist_number
5602,2020-06-12 10:48:01 -04:00,MSFT,5ee395a10aa701fddac3a4e3,189.99,NASDAQ,1m,190.34,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.86,190.28,0.598832368850708,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:48:01.399,142298.0,5.11,190.67,208070,True,1.0
5603,2020-06-12 10:49:01 -04:00,MSFT,5ee395dd0aa701fddac3a716,189.71,NASDAQ,1m,190.04,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.69,190.01,0.6740264892578125,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:49:01.061,90299.0,5.11,190.66,208070,True,1.0
5604,2020-06-12 10:50:01 -04:00,MSFT,5ee396190aa701fddac3a949,189.71,NASDAQ,1m,189.85,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.63,189.74,0.8515431880950928,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:50:01.839,74845.0,5.11,190.66,208070,True,1.0
5605,2020-06-12 10:51:01 -04:00,MSFT,5ee396550aa701fddac3ab7c,189.33,NASDAQ,1m,189.74,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.33,189.74,0.6752798557281494,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:51:01.580,82864.0,5.11,190.65,208070,True,1.0
5606,2020-06-12 10:52:01 -04:00,MSFT,5ee396910aa701fddac3adaf,189.19,NASDAQ,1m,189.5,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.18,189.36,0.587714672088623,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:52:01.261,84197.0,5.11,190.64,208070,True,1.0
5607,2020-06-12 10:53:00 -04:00,MSFT,5ee396cc0aa701fddac3afe2,189.21,NASDAQ,1m,189.39,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,189.11,189.18,0.6622211933135986,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:53:00.884,78345.0,5.11,190.63,208070,True,1.0
5608,2020-06-12 10:54:01 -04:00,MSFT,5ee397090aa701fddac3b215,188.72,NASDAQ,1m,189.22,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.65,189.19,0.6365365982055664,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:54:01.468,207333.0,5.11,190.59,208070,True,1.0
5609,2020-06-12 10:55:01 -04:00,MSFT,5ee397450aa701fddac3b448,188.96,NASDAQ,1m,188.96,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.66,188.71,1.0060546398162842,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:55:01.401,82563.0,5.11,190.58,208070,True,1.0
5610,2020-06-12 10:56:01 -04:00,MSFT,5ee397810aa701fddac3b67b,189.13,NASDAQ,1m,189.19,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.85,188.95,0.7197926044464111,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:56:01.108,82502.0,5.11,190.57,208070,True,1.0
5611,2020-06-12 10:57:01 -04:00,MSFT,5ee397bd0aa701fddac3b8ae,188.84,NASDAQ,1m,189.23,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.75,189.15,0.6918234825134277,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:57:01.231,75900.0,5.11,190.56,208070,True,1.0
